rank,feature,mean_abs_shap_logit
1,store_age_months,0.2453082
2,is_left_censored_age,0.15521137
3,industry_historical_rate,0.15489134
4,industry_group_enc,0.13231777
5,dong_industry_historical_rate,0.09215643
6,is_mass_reclass_window,0.08213594
7,snapshot_month_index,0.07488672
8,previously_transitioned,0.056383617
9,floor_category_enc,0.053355638
10,dong_historical_rate,0.032226298
11,industry_specialization_300m,0.022120638
12,industry_code_enc,0.020180445
13,industry_dae_code_enc,0.01824251
14,industry_jung_name_enc,0.01685568
15,industry_jung_code_enc,0.016258582
16,foreign_short_pop,0.016232055
17,industry_name_enc,0.015931962
18,gu_name_enc,0.014447476
19,foreign_long_pop,0.013923841
20,same_industry_count_300m,0.01385009
21,korean_pop,0.012498352
22,nearest_same_industry_distance_m,0.011819603
23,foreign_short_ratio,0.011286806
24,dong_industry_count,0.010152867
25,competition_per_capita_300m,0.009548371
26,total_count_300m,0.009208392
27,coord_cluster_size,0.008331171
28,lng,0.0073276036
29,tourist_zone_candidate,0.0072466796
30,lat,0.0061320737
31,dong_industry_count_growth,0.0032137893
32,is_trend_keyword_match,0.0027792815
33,population_is_proxied,0.0018551665
34,keyword_growth_score,0.0009737199
