rank,feature,mean_abs_shap_logit
1,store_age_months,0.1516743
2,industry_historical_rate,0.123663545
3,is_left_censored_age,0.10811622
4,industry_group_enc,0.10799795
5,previously_transitioned,0.107214056
6,snapshot_month_index,0.08206074
7,is_mass_reclass_window,0.06561852
8,floor_category_enc,0.06273283
9,dong_industry_historical_rate,0.04006757
10,industry_code_enc,0.03493434
11,industry_jung_name_enc,0.028519677
12,industry_dae_code_enc,0.028141264
13,industry_jung_code_enc,0.02281984
14,nearest_same_industry_distance_m,0.022360053
15,dong_historical_rate,0.020298714
16,industry_name_enc,0.01770257
17,foreign_short_ratio,0.015195289
18,industry_specialization_300m,0.013540013
19,total_count_300m,0.013038005
20,same_industry_count_300m,0.012483066
21,dong_industry_count,0.011769858
22,foreign_long_pop,0.011569953
23,gu_name_enc,0.010959958
24,coord_cluster_size,0.010004373
25,korean_pop,0.009694144
26,lng,0.008761147
27,competition_per_capita_300m,0.008714282
28,tourist_zone_candidate,0.008408517
29,lat,0.00800902
30,foreign_short_pop,0.0075753164
31,dong_industry_count_growth,0.0027133906
32,is_trend_keyword_match,0.00236588
33,population_is_proxied,0.0015701846
34,keyword_growth_score,0.0008758722
