rank,feature,mean_abs_shap_logit
1,store_age_months,0.446938
2,industry_group_enc,0.22371265
3,snapshot_month_index,0.22198007
4,industry_code_enc,0.10075673
5,floor_category_enc,0.05704146
6,industry_jung_name_enc,0.04756064
7,industry_jung_code_enc,0.036683075
8,industry_name_enc,0.03157557
9,industry_dae_code_enc,0.028100321
10,dong_code_enc,0.02407613
11,nearest_same_industry_distance_m,0.021614272
12,gu_name_enc,0.015862534
13,lat,0.013616024
14,same_industry_count_300m,0.013611024
15,total_count_300m,0.012735804
16,lng,0.011344839
17,coord_cluster_size,0.010873223
18,dong_industry_count,0.009931381
